     n                 r           density          velocity             B_phi               B_z          pressure
                    (cm)         (mg/cm^3)            (km/s)          (Mgauss)          (Mgauss)         (kJ/cm^3)
   174  5.0737198197D-06  1.3598113133D-05 -2.1140509946D-03  3.5219182283D-03  6.5222855548D+00  4.0544419738D+01
   175  5.0841566253D-06  1.3629196394D-05 -2.1183996643D-03  3.5259412217D-03  6.5222855500D+00  4.0544419677D+01
   176  5.0946148995D-06  1.3660350708D-05 -2.1227572792D-03  3.5299688103D-03  6.5222855450D+00  4.0544419616D+01
   177  5.1050946870D-06  1.3691576236D-05 -2.1271238580D-03  3.5340009996D-03  6.5222855401D+00  4.0544419555D+01
   178  5.1155960316D-06  1.3722873140D-05 -2.1314994191D-03  3.5380377947D-03  6.5222855352D+00  4.0544419494D+01
   179  5.1261189780D-06  1.3754241585D-05 -2.1358839807D-03  3.5420792010D-03  6.5222855301D+00  4.0544419431D+01
   180  5.1366635703D-06  1.3785681733D-05 -2.1402775615D-03  3.5461252237D-03  6.5222855252D+00  4.0544419369D+01
   181  5.1472298532D-06  1.3817193748D-05 -2.1446801802D-03  3.5501758680D-03  6.5222855203D+00  4.0544419308D+01
   182  5.1578178714D-06  1.3848777796D-05 -2.1490918552D-03  3.5542311392D-03  6.5222855152D+00  4.0544419246D+01
   183  5.1684276693D-06  1.3880434039D-05 -2.1535126051D-03  3.5582910427D-03  6.5222855103D+00  4.0544419184D+01
   184  5.1790592919D-06  1.3912162644D-05 -2.1579424485D-03  3.5623555836D-03  6.5222855052D+00  4.0544419121D+01
   185  5.1897127842D-06  1.3943963776D-05 -2.1623814045D-03  3.5664247675D-03  6.5222855002D+00  4.0544419059D+01
   186  5.2003881912D-06  1.3975837601D-05 -2.1668294916D-03  3.5704985993D-03  6.5222854951D+00  4.0544418996D+01
   187  5.2110855576D-06  1.4007784285D-05 -2.1712867284D-03  3.5745770846D-03  6.5222854901D+00  4.0544418933D+01
   188  5.2218049290D-06  1.4039803993D-05 -2.1757531340D-03  3.5786602287D-03  6.5222854850D+00  4.0544418871D+01
   189  5.2325463504D-06  1.4071896894D-05 -2.1802287270D-03  3.5827480368D-03  6.5222854800D+00  4.0544418808D+01
   190  5.2433098674D-06  1.4104063154D-05 -2.1847135266D-03  3.5868405143D-03  6.5222854749D+00  4.0544418744D+01
   191  5.2540955253D-06  1.4136302943D-05 -2.1892075516D-03  3.5909376665D-03  6.5222854698D+00  4.0544418681D+01
   192  5.2649033694D-06  1.4168616427D-05 -2.1937108208D-03  3.5950394988D-03  6.5222854647D+00  4.0544418618D+01
   193  5.2757334456D-06  1.4201003773D-05 -2.1982233533D-03  3.5991460165D-03  6.5222854595D+00  4.0544418555D+01
   194  5.2865857998D-06  1.4233465153D-05 -2.2027451686D-03  3.6032572250D-03  6.5222854545D+00  4.0544418490D+01
   195  5.2974604776D-06  1.4266000734D-05 -2.2072762852D-03  3.6073731295D-03  6.5222854493D+00  4.0544418427D+01
   196  5.3083575249D-06  1.4298610688D-05 -2.2118167225D-03  3.6114937355D-03  6.5222854441D+00  4.0544418362D+01
   197  5.3192769879D-06  1.4331295182D-05 -2.2163664996D-03  3.6156190484D-03  6.5222854390D+00  4.0544418298D+01
   198  5.3302189125D-06  1.4364054389D-05 -2.2209256358D-03  3.6197490735D-03  6.5222854338D+00  4.0544418234D+01
   199  5.3411833449D-06  1.4396888478D-05 -2.2254941503D-03  3.6238838163D-03  6.5222854286D+00  4.0544418169D+01
   200  5.3521703316D-06  1.4429797621D-05 -2.2300720623D-03  3.6280232820D-03  6.5222854235D+00  4.0544418105D+01
   201  5.3631799191D-06  1.4462781989D-05 -2.2346593914D-03  3.6321674761D-03  6.5222854183D+00  4.0544418040D+01
   202  5.3742121533D-06  1.4495841755D-05 -2.2392561566D-03  3.6363164041D-03  6.5222854130D+00  4.0544417975D+01
   203  5.3852670813D-06  1.4528977090D-05 -2.2438623776D-03  3.6404700711D-03  6.5222854078D+00  4.0544417910D+01
   204  5.3963447496D-06  1.4562188167D-05 -2.2484780737D-03  3.6446284829D-03  6.5222854025D+00  4.0544417845D+01
   205  5.4074452053D-06  1.4595475161D-05 -2.2531032646D-03  3.6487916446D-03  6.5222853972D+00  4.0544417779D+01
   206  5.4185684946D-06  1.4628838243D-05 -2.2577379696D-03  3.6529595619D-03  6.5222853921D+00  4.0544417713D+01
   207  5.4297146652D-06  1.4662277588D-05 -2.2623822084D-03  3.6571322400D-03  6.5222853868D+00  4.0544417648D+01
   208  5.4408837636D-06  1.4695793371D-05 -2.2670360004D-03  3.6613096845D-03  6.5222853815D+00  4.0544417582D+01
   209  5.4520758372D-06  1.4729385767D-05 -2.2716993655D-03  3.6654919007D-03  6.5222853761D+00  4.0544417517D+01
   210  5.4632909334D-06  1.4763054948D-05 -2.2763723233D-03  3.6696788941D-03  6.5222853708D+00  4.0544417450D+01
